Datetime,Tweet Id,Text,Username
2022-01-25 20:33:10+00:00,1486074687838949379,"ACHRAF HAKIMI. 
BEST RB IN THE WORLD. 

GOOD NIGHT GUYS. 👋🏽",KMbappe
2022-01-10 12:55:28+00:00,1480523688688631810,"Je te souhaite également une bonne année ma petite Camille ❤️🙏🏽. 
Continues de te battre comme tu le fais, tu nous donnes une leçon de vie à tous. ✊🏽

La violence des commentaires pour une gamine… On est vraiment en train de toucher le fond. Il s’agirait de se ressaisir un peu. https://t.co/UgBTVnzhTB",KMbappe
2021-12-31 23:49:49+00:00,1477064480337145860,2️⃣0️⃣2️⃣2️⃣,KMbappe
2021-12-31 20:59:30+00:00,1477021621630246912,"Road to 2️⃣0️⃣2️⃣2️⃣… 

Happy New Year everyone
I wish you health, happiness and success. 🎊❤️ https://t.co/t5upikqz0L",KMbappe
2021-12-27 09:29:41+00:00,1475398471679160326,@Globe_Soccer @tiktok_us @DubaiSC 🙏🏽💪🏽,KMbappe
2021-12-20 14:38:52+00:00,1472939561923878916,@AS_Monaco_ES ❤️🙏🏽,KMbappe
2021-12-20 10:07:37+00:00,1472871299202662403,@equipedefrance 💙🤍❤️,KMbappe
2021-12-20 10:07:27+00:00,1472871257611939842,@PSG_inside ❤️💙,KMbappe
2021-12-17 12:02:41+00:00,1471813096406716421,"I am delighted to announce that I am now officially part of Maison Dior. Can’t wait to share our collaborations in men’s fashion and Sauvage fragrance
#Dior #DiorSauvage #DiorFragrance @Dior https://t.co/hQtGyqGtKl",KMbappe
2021-12-12 14:38:12+00:00,1470040292086722563,😳😳😳 #AbuDhabiGP #F1,KMbappe
2021-11-29 13:05:25+00:00,1465305899581546501,TT x KM 🔥🔥🔥 https://t.co/OzRhhx77Gy,KMbappe
2021-11-28 19:01:09+00:00,1465033037289246727,"RIP VIRGIL ABLOH 🕊

No one will forget the impact you had. God bless you my friend.",KMbappe
2021-11-13 22:34:34+00:00,1459650924981411847,"DIRECTION LE QATAR 🇫🇷✈️🇶🇦

Soirée mémorable pour une qualification méritée. 
Une grosse pensée pour toutes les familles des victimes 13.11.15. 
Et aussi une grande fierté de rejoindre la légende J.Fontaine avec ce quadruplé. #KYLI4N https://t.co/njHbgWJBCN",KMbappe
2021-11-12 18:51:42+00:00,1459232453768491016,@equipedefrance 🏡👋🏽,KMbappe
2021-11-12 18:51:25+00:00,1459232382855299079,@Farodessinateur Un grand merci à toi 😄,KMbappe
2021-11-04 15:20:47+00:00,1456280268990525441,😆😆😆 @nikefootball https://t.co/X8GDSN6800,KMbappe
2021-10-19 21:52:03+00:00,1450580531603726337,Top of the group. ❤️💙 @PSG_inside https://t.co/dks1BS8Bb0,KMbappe
2021-10-15 22:30:10+00:00,1449140570933366787,@PSG_inside JUANIIIIIIIIIITO 😍😍😍✊🏽,KMbappe
2021-10-10 21:58:14+00:00,1447320594945613826,"L’HISTOIRE CONTINUE DE S’ÉCRIRE… 
ALLEZ LES BLEUS 🇫🇷🏆👊🏽 https://t.co/wEIKvZTPRQ",KMbappe
2021-10-07 21:09:05+00:00,1446221063118012420,@equipedefrance ❤️,KMbappe
2021-10-07 21:04:43+00:00,1446219964034297862,"Une remontée qui restera, et une place en finale. 
Super travail de toute l’équipe.
Rendez-vous dimanche !!!!! 

ALLEZ LES BLEUS 🇫🇷🇫🇷🇫🇷🇫🇷🇫🇷 https://t.co/0CVlBeRrgg",KMbappe
2021-10-04 18:09:02+00:00,1445088586202816517,🇫🇷 https://t.co/hEuHk3O5nM,KMbappe
2021-10-03 09:32:39+00:00,1444596246702923779,"RIP à ce grand monsieur. 
Toutes mes condoléances à sa famille et ses proches. 🙏🏽🕊 https://t.co/WlDXUxaoC4",KMbappe
2021-09-17 13:49:50+00:00,1438862764357861387,FIFA 22 😍😍😍 @EASPORTSFIFA https://t.co/VoQLlVEWk6,KMbappe
2021-09-13 19:14:37+00:00,1437494949252145152,"FIFA 17 -&gt; FIFA 22 💥 #FIFARatings 

@EASPORTSFIFA https://t.co/XVBEWlxnmA",KMbappe
2021-08-12 12:32:14+00:00,1425797274265923587,"Welcome to Paris, Léo. 🔴🔵 https://t.co/ZDO11HSVOw",KMbappe
2021-07-17 19:37:42+00:00,1416482262405853195,👀🌙💫… https://t.co/XjzzkowFUy,KMbappe
2021-07-15 20:38:34+00:00,1415772802997800966,👑x🤴🏽… @Ibra_official https://t.co/CTwGqmKD3W,KMbappe
2021-06-28 23:18:09+00:00,1409652368120061952,https://t.co/nMmGi7V4mP,KMbappe
2021-06-19 19:30:02+00:00,1406333472222875652,"Une admirable personne, avec qui j’ai eu la chance d’échanger. 
Un exemple pour tous.
Un amoureux du foot et de la vie. Une triste nouvelle. 
Reposes en paix mon Philou

😢🙏🏽🕊🙌🏽.... https://t.co/jWo64rPPvQ",KMbappe
2021-06-15 21:24:42+00:00,1404912777748271112,Première victoire 🔥 https://t.co/oaGSOXKP6T,KMbappe
2021-05-25 15:23:26+00:00,1397211716023373826,💉💉💉... ✅ https://t.co/eZX0wncDYz,KMbappe
2021-05-23 18:45:10+00:00,1396537708860870658,"👑🥇🏆... 

@Ligue1UberEats @PSG_inside 
@UNFP https://t.co/rSfTVNTOlF",KMbappe
2021-05-18 19:08:59+00:00,1394731762115399683,KB x KM 🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/72smmr87f2,KMbappe
2021-05-18 18:30:23+00:00,1394722046781833229,💙🤍❤️🙏🏽 @equipedefrance,KMbappe
2021-04-13 21:21:42+00:00,1382081587228123136,Demi-finale? Oui Oui !!! 🔴🔵 https://t.co/5EjupUe31e,KMbappe
2021-04-12 18:11:14+00:00,1381671266688569352,Ramadan Mubarak à tous les musulmans 🌙💛...,KMbappe
2021-04-07 22:32:42+00:00,1379925124296622081,❤️💙.... #FCBAYERNPSG https://t.co/oRsshfpPle,KMbappe
2021-03-11 11:28:27+00:00,1369973487713026053,🙌🏽🙏🏽... https://t.co/5wzwC67BQk,KMbappe
2021-03-10 22:13:42+00:00,1369773483312439304,"Quarter-final, here we come !!! https://t.co/Wo8P2ysjAi",KMbappe
2021-02-27 22:32:36+00:00,1365791975908204552,"Aymen 
« Il n'y a pas d'au revoir pour nous. Peu importe où tu es, tu seras toujours dans le coeur des Bondynois. »
Repose en paix. 
Mes condoléances les plus sincères à ses proches. 
😢🕊🙏🏽",KMbappe
2021-02-07 22:19:21+00:00,1358540883877068804,ICI C’EST PARIS ❤️💙... https://t.co/uuykSmnAbQ,KMbappe
2021-01-23 18:55:03+00:00,1353053652773187585,TOTY 🔥 @EASPORTSFIFA https://t.co/wvVaTHrCrs,KMbappe
2020-12-23 13:41:00+00:00,1341740592271929348,"Mourir pour avoir voulu sauver : Une violence inacceptable 
Ne laissons pas la violence gagner, quelle que soit sa forme. 

Mes condoléances aux familles des victimes.  

👮‍♂️🙏🏽🕊.",KMbappe
2020-12-08 22:09:38+00:00,1336432779236679680,"SAY NO TO RACISM.  ❌❌❌ 

M.WEBO WE ARE WITH YOU. ✊🏽",KMbappe
2020-12-05 22:53:44+00:00,1335356710320541697,"100 buts pour le PSG. 
Un sentiment de fierté incroyable. 
Un grand merci à tous mes coéquipiers, le club, mes proches et bien sûr vous les fans pour votre soutien. 
ICI C’EST PARIS ❤️💙 @PSG_inside https://t.co/W48hA5VlfK",KMbappe
2020-11-26 19:11:31+00:00,1332039299089494019,https://t.co/79qgdzdEBg,KMbappe
2020-11-25 16:58:31+00:00,1331643440740900865,"RIP Legend. 
 You will stay in the history of football forever. Thanks you for all the pleasure you gave to the whole world 🙌🏽🙏🏽❤️ 

AÏE AÏE AÏE F*CKING 2020 😭😭😭 https://t.co/8xc1CDKDg2",KMbappe
2020-11-21 16:30:13+00:00,1330186768583421965,😍😍😍 https://t.co/uIgat98AqV,KMbappe
2020-11-20 23:19:23+00:00,1329927347693363201,"Défaite frustrante. 
Déjà concentré sur le match de mardi. 
🔴🔵 @PSG_inside https://t.co/CoustmVAcU",KMbappe
2020-11-17 21:59:01+00:00,1328819961461170181,Back with an assist 🅰️🎯...@equipedefrance https://t.co/Y4sjeCzC2j,KMbappe
2020-11-15 18:42:51+00:00,1328045816565657600,Back with the team...🇫🇷👐🏽 https://t.co/JcvPdhW9YY,KMbappe
2020-11-12 19:01:02+00:00,1326963231500406784,@PSG_inside @EASPORTSFIFA ❤️💙... ‼️‼️,KMbappe
2020-11-09 20:56:12+00:00,1325905047235006464,@WissBenYedder 😈😈😈,KMbappe
2020-11-05 13:09:20+00:00,1324338005159649288,Blessed 🙏🏽💙... @equipedefrance https://t.co/SqwOZiDQtz,KMbappe
2020-11-02 09:55:55+00:00,1323202170318184451,"L’école de la République, c’est comme une équipe de football.
Les professeurs, c’est comme nos entraîneurs. 
Pour apprendre et gagner, nous devons toujours jouer ensemble. 
Écouter, partager, s’entraider... À l’école comme sur le terrain, SOYONS UNIS 🙏🏽",KMbappe
2020-10-31 22:24:41+00:00,1322665827234156546,"Win, Goal &amp; Assist 💪🏽👊🏽... @PSG_inside https://t.co/5fgBkUKwmA",KMbappe
2020-10-28 21:37:07+00:00,1321566691923558403,"🇨🇲🤍🕊🙏🏽
#EndAnglophoneCrisis",KMbappe
2020-10-28 20:32:20+00:00,1321550387107778572,"🎯🎯 #IBFKPSG 
Important win. Great game guys !!! 

❤️💙 @PSG_inside https://t.co/aMVZmUIoMH",KMbappe
2020-10-27 18:44:54+00:00,1321160962515361793,🛩😷... https://t.co/BeJwUynALf,KMbappe
2020-10-26 12:28:33+00:00,1320703865323507713,"😁🙌🏽👊🏽 #MondayMotivation 

Une nouvelle semaine, toujours la même joie de vivre ce rêve chaque jour. 

@PSG_inside https://t.co/lcy5AHcNbN",KMbappe
2020-10-24 21:29:19+00:00,1320115176755154947,🔴🔵.... @PSG_inside https://t.co/4t27ShAm5S,KMbappe
2020-10-22 11:20:55+00:00,1319237293778079744,https://t.co/58FX862EvM,KMbappe
2020-10-19 14:24:55+00:00,1318196433217069057,Happiness 😄 https://t.co/8Jdv5LuVrT,KMbappe
2020-10-16 21:28:43+00:00,1317215921568649217,😘❤️... https://t.co/TOMJDpdYHQ,KMbappe
2020-10-14 13:04:28+00:00,1316364250298953728,"@AS_Monaco @heldercosta_ Merci pour tout, trop de bons souvenirs ❤️🤍",KMbappe
2020-10-11 21:30:54+00:00,1315404531820306434,Idol 👑🐐... @Cristiano https://t.co/uZGEXnhuUB,KMbappe
2020-10-09 17:21:21+00:00,1314616957178707970,How it started.                     How it’s going. https://t.co/ugqpj85SW3,KMbappe
2020-10-07 21:32:41+00:00,1313955432868782080,GRRRRR 🇫🇷😄🔟... @equipedefrance https://t.co/ilcusek2RE,KMbappe
2020-10-07 21:29:05+00:00,1313954525707939841,@WissBenYedder @AntoGriezmann @CorentinTolisso @LucasDigne @equipedefrance Baller 😈🤪,KMbappe
2020-10-04 16:49:18+00:00,1312796953173020674,📸🤙🏽... https://t.co/htRg84azAn,KMbappe
2020-10-02 21:11:02+00:00,1312138044321878016,😄⚽️🎯... @PSG_inside https://t.co/WwtuKtM1kU,KMbappe
2020-10-01 16:08:07+00:00,1311699425300025345,Bon bah on pars sur ZZ 🇫🇷👑... #FUT21 https://t.co/3qm7QknsWf https://t.co/BgFmmtiYrO,KMbappe
2020-09-30 13:04:33+00:00,1311290838429900800,Ligue1 2019-20 Player of the Season 🏆🤙🏽... @Transfermarkt https://t.co/5tP3pSKr4n,KMbappe
2020-09-29 17:51:20+00:00,1311000622104285191,"Attaque Ronaldo🇧🇷- Henry’s🇫🇷..✅

Mon 10 dans mon attaque FUT21 ?",KMbappe
2020-09-29 12:54:12+00:00,1310925846736142341,FIFA 21 😍😍😍 @EASPORTSFIFA https://t.co/uTNTHffkkk,KMbappe
2020-09-23 11:53:27+00:00,1308736230729842688,"WORK, WORK &amp; WORK 🔴🔵... https://t.co/1A5sTBgnud",KMbappe
2020-09-22 17:38:41+00:00,1308460723203444738,😭😈 @EASPORTSFIFA https://t.co/bG8TFtM3Vc https://t.co/BrkHhcdwdC,KMbappe
